kind	class	method	param	index	uri	field
METHOD	org.cache2k.config.Cache2kConfig	setLoader(org.cache2k.config.CustomizationSupplier)	null	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-pre/src/src/main/java/org/cache2k/config/Cache2kConfig.java	loader
METHOD	org.cache2k.config.Cache2kConfig	setExpiryPolicy(org.cache2k.config.CustomizationSupplier)	null	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-pre/src/src/main/java/org/cache2k/config/Cache2kConfig.java	expiryPolicy
METHOD	org.cache2k.config.Cache2kConfig	setLoaderExecutor(org.cache2k.config.CustomizationSupplier)	null	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-pre/src/src/main/java/org/cache2k/config/Cache2kConfig.java	loaderExecutor
METHOD	org.cache2k.config.Cache2kConfig	setRefreshExecutor(org.cache2k.config.CustomizationSupplier)	null	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-pre/src/src/main/java/org/cache2k/config/Cache2kConfig.java	refreshExecutor
METHOD	org.cache2k.config.Cache2kConfig	setExecutor(org.cache2k.config.CustomizationSupplier)	null	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-pre/src/src/main/java/org/cache2k/config/Cache2kConfig.java	executor
METHOD	org.cache2k.config.Cache2kConfig	setAsyncListenerExecutor(org.cache2k.config.CustomizationSupplier)	null	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-pre/src/src/main/java/org/cache2k/config/Cache2kConfig.java	asyncListenerExecutor
