kind	class	method	param	index	uri	reason	annotation	rootClass	rootMethod
FIELD	org.cache2k.Cache2kBuilder	null	keyType	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-pre/src/src/main/java/org/cache2k/Cache2kBuilder.java	METHOD_NO_INIT	nullable	org.cache2k.Cache2kBuilder	null
FIELD	org.cache2k.Cache2kBuilder	null	valueType	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-pre/src/src/main/java/org/cache2k/Cache2kBuilder.java	METHOD_NO_INIT	nullable	org.cache2k.Cache2kBuilder	null
FIELD	org.cache2k.Cache2kBuilder	null	keyType	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-pre/src/src/main/java/org/cache2k/Cache2kBuilder.java	METHOD_NO_INIT	nullable	org.cache2k.Cache2kBuilder	null
FIELD	org.cache2k.Cache2kBuilder	null	valueType	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-pre/src/src/main/java/org/cache2k/Cache2kBuilder.java	METHOD_NO_INIT	nullable	org.cache2k.Cache2kBuilder	null
FIELD	org.cache2k.Cache2kBuilder	null	config	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-pre/src/src/main/java/org/cache2k/Cache2kBuilder.java	ASSIGN_FIELD_NULLABLE	nullable	org.cache2k.Cache2kBuilder	config
FIELD	org.cache2k.Cache2kBuilder	null	manager	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-pre/src/src/main/java/org/cache2k/Cache2kBuilder.java	ASSIGN_FIELD_NULLABLE	nullable	org.cache2k.Cache2kBuilder	manager
FIELD	org.cache2k.Cache2kBuilder	null	keyType	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-pre/src/src/main/java/org/cache2k/Cache2kBuilder.java	ASSIGN_FIELD_NULLABLE	nullable	org.cache2k.Cache2kBuilder	Cache2kBuilder(org.cache2k.config.CacheType,org.cache2k.config.CacheType)
FIELD	org.cache2k.Cache2kBuilder	null	valueType	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-pre/src/src/main/java/org/cache2k/Cache2kBuilder.java	ASSIGN_FIELD_NULLABLE	nullable	org.cache2k.Cache2kBuilder	Cache2kBuilder(org.cache2k.config.CacheType,org.cache2k.config.CacheType)
METHOD	org.cache2k.config.CacheType	getComponentType()	null	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-pre/src/src/main/java/org/cache2k/config/CacheType.java	WRONG_OVERRIDE_RETURN	nullable	org.cache2k.config.CacheTypeCapture$BaseType	getComponentType()
