message_type	message	enc_class	enc_member	offset	path	target_kind	target_class	target_method	target_param	target_index	target_path
METHOD_NO_INIT	initializer method does not guarantee @NonNull fields keyType (line 131), valueType (line 132) are initialized along all control-flow paths (remember to check for exceptions or early returns).	org.cache2k.Cache2kBuilder	Cache2kBuilder(org.cache2k.config.Cache2kConfig)	4534	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-pre/src/src/main/java/org/cache2k/Cache2kBuilder.java	null	null	null	null	null	null
METHOD_NO_INIT	initializer method does not guarantee @NonNull fields keyType (line 131), valueType (line 132) are initialized along all control-flow paths (remember to check for exceptions or early returns).	org.cache2k.Cache2kBuilder	Cache2kBuilder(org.cache2k.config.CacheType,org.cache2k.config.CacheType)	5507	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-pre/src/src/main/java/org/cache2k/Cache2kBuilder.java	null	null	null	null	null	null
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.cache2k.Cache2kBuilder	config	4447	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-pre/src/src/main/java/org/cache2k/Cache2kBuilder.java	FIELD	org.cache2k.Cache2kBuilder	null	config	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-pre/src/src/main/java/org/cache2k/Cache2kBuilder.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.cache2k.Cache2kBuilder	manager	4493	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-pre/src/src/main/java/org/cache2k/Cache2kBuilder.java	FIELD	org.cache2k.Cache2kBuilder	null	manager	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-pre/src/src/main/java/org/cache2k/Cache2kBuilder.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.cache2k.Cache2kBuilder	Cache2kBuilder(org.cache2k.config.CacheType,org.cache2k.config.CacheType)	5604	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-pre/src/src/main/java/org/cache2k/Cache2kBuilder.java	FIELD	org.cache2k.Cache2kBuilder	null	keyType	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-pre/src/src/main/java/org/cache2k/Cache2kBuilder.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.cache2k.Cache2kBuilder	Cache2kBuilder(org.cache2k.config.CacheType,org.cache2k.config.CacheType)	5632	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-pre/src/src/main/java/org/cache2k/Cache2kBuilder.java	FIELD	org.cache2k.Cache2kBuilder	null	valueType	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-pre/src/src/main/java/org/cache2k/Cache2kBuilder.java
WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method org.cache2k.config.CacheType.getComponentType() returns @NonNull	org.cache2k.config.CacheTypeCapture$BaseType	getComponentType()	2557	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-pre/src/src/main/java/org/cache2k/config/CacheTypeCapture.java	METHOD	org.cache2k.config.CacheType	getComponentType()	null	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_cf-wpi-pre/src/src/main/java/org/cache2k/config/CacheType.java
