kind	class	method	param	index	uri	reason	annotation	rootClass	rootMethod
FIELD	org.cache2k.config.Cache2kConfig	null	loaderExecutor	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD_NO_INIT	nullable	org.cache2k.config.Cache2kConfig	null
FIELD	org.cache2k.config.Cache2kConfig	null	refreshExecutor	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD_NO_INIT	nullable	org.cache2k.config.Cache2kConfig	null
FIELD	org.cache2k.config.Cache2kConfig	null	resiliencePolicy	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD_NO_INIT	nullable	org.cache2k.config.Cache2kConfig	null
FIELD	org.cache2k.config.Cache2kConfig	null	listeners	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD_NO_INIT	nullable	org.cache2k.config.Cache2kConfig	null
FIELD	org.cache2k.config.Cache2kConfig	null	asyncListeners	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD_NO_INIT	nullable	org.cache2k.config.Cache2kConfig	null
FIELD	org.cache2k.config.Cache2kConfig	null	resiliencePolicy	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	ASSIGN_FIELD_NULLABLE	nullable	org.cache2k.config.Cache2kConfig	setResiliencePolicy(org.cache2k.config.CustomizationSupplier)
METHOD	org.cache2k.config.CacheType	getComponentType()	null	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-post/src/src/main/java/org/cache2k/config/CacheType.java	WRONG_OVERRIDE_RETURN	nullable	org.cache2k.config.CacheTypeCapture$BaseType	getComponentType()
