message_type	message	enc_class	enc_member	offset	path	target_kind	target_class	target_method	target_param	target_index	target_path
FIELD_NO_INIT	@NonNull field loaderExecutor not initialized	org.cache2k.config.Cache2kConfig	loaderExecutor	4039	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	loaderExecutor	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
FIELD_NO_INIT	@NonNull field refreshExecutor not initialized	org.cache2k.config.Cache2kConfig	refreshExecutor	4108	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	refreshExecutor	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
FIELD_NO_INIT	@NonNull field resiliencePolicy not initialized	org.cache2k.config.Cache2kConfig	resiliencePolicy	4424	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	resiliencePolicy	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
FIELD_NO_INIT	@NonNull field listeners not initialized	org.cache2k.config.Cache2kConfig	listeners	5031	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	listeners	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
FIELD_NO_INIT	@NonNull field asyncListeners not initialized	org.cache2k.config.Cache2kConfig	asyncListeners	5112	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	asyncListeners	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	org.cache2k.config.Cache2kConfig	setResiliencePolicy(org.cache2k.config.CustomizationSupplier)	16949	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java	FIELD	org.cache2k.config.Cache2kConfig	null	resiliencePolicy	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-post/src/src/main/java/org/cache2k/config/Cache2kConfig.java
WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method org.cache2k.config.CacheType.getComponentType() returns @NonNull	org.cache2k.config.CacheTypeCapture$BaseType	getComponentType()	2557	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-post/src/src/main/java/org/cache2k/config/CacheTypeCapture.java	METHOD	org.cache2k.config.CacheType	getComponentType()	null	null	/home/nima/Desktop/nullability-docker/table_3/versions/nullaway/cache2k_nw-wpi-post/src/src/main/java/org/cache2k/config/CacheType.java
